loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
22,43,61.46764965,45.29024771,911,6637.001421,911,49.77697842,133.334759,330369.8765,0.000240016,5.098300563,235,10,73,172,17,139,97,814,0,FALSE
1772,3082,13219.69998,1032.934656,141923,1533583.588,141923,660.0803723,2323.32857,1012288425,0.000219133,15621.73496,6609,86,1036,5715,17,1773,4238,137685,23,TRUE
497,866,3457.29378,342.2273498,15799,144716.8072,15799,223.4351351,647.690468,32334819.38,0.00023378,498.9941263,1841,28,330,1556,17,555,1210,14589,15,TRUE
21967,58479,559507.6695,7970.492307,3250714,43618886.42,3250714,2440.573971,17872.3886,1.06E+11,0.000171652,1642825.908,80182,2046,9244,70916,17,10930,112423,3138291,8365,TRUE
658,1214,4740.04927,504.8502391,34744,344048.121,34744,295.8632979,1162.861779,101791211.7,0.000211219,1570.852032,2293,158,442,1910,17,940,2025,32719,16,FALSE
309,679,3056.904899,203.5963966,9905,92555.25097,9905,118.6240126,780.2404329,10979275.26,0.000177907,169.4332602,768,98,128,648,17,633,1071,8834,21,TRUE
4094,78116,488720.1191,7919.299812,6423567,90345276.67,6423567,3073.716789,29392.84354,2.78E+11,0.000157043,4285428.916,19369,1067,630,18791,17,17118,233463,6190104,13838,TRUE
1605,3072,14111.41981,816.9991446,128253,1399610.796,128253,538.5468341,2598.865516,753755963.2,0.000197254,11632.03647,5259,320,739,4618,17,1911,7175,121078,301,FALSE
2222,5163,35946.71565,308.9384624,262266,2834190.543,262266,1217.081172,2328.678323,3449439949,0.000268503,53232.09798,7275,473,435,6873,17,1774,8254,254012,172,TRUE
241,430,1838.593777,147.468935,8253,75258.62067,8253,115.8302412,649.7320553,8717224.184,0.000187604,134.5250646,722,25,119,625,17,539,908,7345,3,TRUE
2183,4202,25830.9676,316.1220751,179133,1987787.876,179133,650.4866544,3055.847283,1293029485,0.000199028,19954.15872,7283,518,1553,5744,17,2173,12838,166295,361,TRUE
174,305,1269.087954,108.8064743,10724,94926.15672,10724,176.7808989,536.9706644,16781131.31,0.000230166,258.9680758,671,57,77,597,17,445,1469,9255,6,FALSE
2287,4399,24541.27932,796.7012246,191237,2099672.336,191237,777.9283217,2699.056298,1633394576,0.000220185,25206.70643,7262,520,1010,6355,17,2002,8012,183225,274,TRUE
83,169,579.682117,92.04401927,2748,23560.38247,2748,51.49038462,457.5685858,1213133.155,0.000160929,18.72119067,273,23,45,240,17,364,543,2205,1,TRUE
467,744,2499.981819,433.0026985,18355,176444.2013,18355,188.0763708,938.1518824,33184985.02,0.000195089,512.1139663,1520,47,271,1316,17,766,1406,16949,9,TRUE
186,311,1078.051635,168.7162902,8075,73925.15623,8075,110.9303797,666.4103774,8200545.654,0.000183364,126.5516305,845,63,130,742,17,553,858,7217,0,TRUE
32221,86879,1003859.224,2303.000581,5541943,74614792.43,5541943,4026.688121,18530.06495,3.00E+11,0.000200402,4636581.764,124260,3295,13560,110675,17,11280,198291,5343652,10342,TRUE
1975,3265,12656.54084,1447.382384,110559,1159413.993,110559,627.6093089,1847.349899,727659015,0.000232591,11229.30579,6821,118,1264,5799,17,1418,5859,104700,27,TRUE
1250,2361,10509.17018,725.77864,38256,377953.3368,38256,324.3967568,1165.095917,122606836.7,0.000217663,1892.080813,3482,70,610,2929,17,925,2954,35302,62,TRUE
238,432,1759.514537,174.2855933,13232,124921.5808,13232,153.4638643,814.0130016,19170948.53,0.000191134,295.8479711,866,68,187,703,17,678,991,12241,3,TRUE
269,488,2162.760961,142.5730274,7922,73355.68613,7922,100.9303691,726.7949852,7403816.479,0.000172616,114.2564271,757,61,87,687,17,596,845,7077,15,FALSE
271,495,2005.516635,190.9986372,8320,78787.41992,8320,90.23265896,873.158575,7109198.392,0.000156424,109.7098517,824,70,113,737,17,692,974,7346,7,TRUE
